#{"t_start": 1732098831.5806217, "env_id": "None"}
r,l,t
258.0,5,16.026916
247.0,5,16.068913
282.0,5,16.113913
224.0,5,16.156913
279.0,5,16.196915
168.0,5,16.242914
278.0,5,16.286913
230.0,5,16.328913
268.0,5,16.369913
254.0,5,16.410913
252.0,5,16.451913
298.0,5,16.494916
278.0,5,16.532913
271.0,5,16.573913
267.0,5,16.615915
272.0,5,16.654915
243.0,5,16.693916
250.0,5,16.736915
238.0,5,16.783916
247.0,5,16.829917
255.0,5,16.874916
221.0,5,16.917916
281.0,5,16.96293
295.0,5,17.006917
265.0,5,17.047915
287.0,5,17.089918
225.0,5,17.129916
256.0,5,17.173917
192.0,5,17.212917
253.0,5,17.255916
291.0,5,17.297919
275.0,5,17.341917
279.0,5,17.380917
242.0,5,17.423919
251.0,5,17.474918
285.0,5,17.523919
229.0,5,17.569917
248.0,5,17.618918
267.0,5,17.664919
278.0,5,17.708918
267.0,5,17.747919
281.0,5,17.785918
263.0,5,17.830918
259.0,5,17.87192
262.0,5,17.915919
250.0,5,17.957918
243.0,5,18.001918
242.0,5,18.050919
190.0,5,18.095923
275.0,5,18.140921
270.0,5,18.184922
248.0,5,18.227922
251.0,5,18.270919
280.0,5,18.31192
217.0,5,18.35895
249.0,5,18.40292
278.0,5,18.446922
285.0,5,18.484924
255.0,5,18.521924
269.0,5,18.564924
243.0,5,18.601923
244.0,5,18.643921
263.0,5,18.681922
272.0,5,18.729921
253.0,5,18.773923
255.0,5,18.823922
284.0,5,18.875922
261.0,5,18.926923
295.0,5,18.975922
285.0,5,19.019922
286.0,5,19.061924
247.0,5,19.105922
279.0,5,19.144924
287.0,5,19.189923
283.0,5,19.237922
266.0,5,19.280923
304.0,5,19.323922
231.0,5,19.368929
282.0,5,19.415924
256.0,5,19.463923
256.0,5,19.508923
259.0,5,19.549925
239.0,5,19.592923
216.0,5,19.637923
257.0,5,19.679939
276.0,5,19.723926
265.0,5,19.767924
277.0,5,19.812925
257.0,5,19.854924
295.0,5,19.897925
246.0,5,19.939924
264.0,5,19.984925
269.0,5,20.029926
297.0,5,20.070925
294.0,5,20.111926
285.0,5,20.155926
261.0,5,20.196928
250.0,5,20.242926
185.0,5,20.284926
250.0,5,20.327926
228.0,5,20.366926
236.0,5,20.407929
252.0,5,20.44593
276.0,5,20.492927
236.0,5,20.529926
231.0,5,20.573927
225.0,5,20.618928
250.0,5,20.659928
275.0,5,20.704928
245.0,5,20.754928
266.0,5,20.798928
258.0,5,20.846929
222.0,5,20.888929
248.0,5,20.932935
291.0,5,20.971929
263.0,5,21.013931
223.0,5,21.053928
265.0,5,21.100929
205.0,5,21.140928
238.0,5,21.185929
270.0,5,21.230929
192.0,5,21.27793
264.0,5,32.486964
273.0,5,32.533964
292.0,5,32.579965
254.0,5,32.621965
254.0,5,32.668969
271.0,5,32.716965
279.0,5,32.755966
274.0,5,32.795968
250.0,5,32.840968
251.0,5,32.888967
281.0,5,32.932973
258.0,5,32.977969
290.0,5,33.030972
267.0,5,33.078968
272.0,5,33.122969
201.0,5,33.169968
256.0,5,33.217985
273.0,5,33.265968
205.0,5,33.313968
199.0,5,33.360967
268.0,5,33.40097
226.0,5,33.447968
278.0,5,33.493968
285.0,5,33.537968
218.0,5,33.584969
272.0,5,33.63197
262.0,5,33.676969
279.0,5,33.717972
291.0,5,33.763969
259.0,5,33.808969
240.0,5,33.850972
297.0,5,33.887969
264.0,5,33.92597
246.0,5,33.968971
280.0,5,34.013969
281.0,5,34.051971
264.0,5,34.092972
294.0,5,34.13797
246.0,5,34.180974
266.0,5,34.221971
291.0,5,34.26297
276.0,5,34.30797
285.0,5,34.351973
272.0,5,34.395972
282.0,5,34.436971
285.0,5,34.482972
225.0,5,34.530972
261.0,5,34.572973
259.0,5,34.618974
260.0,5,34.667973
304.0,5,34.717973
227.0,5,34.765976
211.0,5,34.809974
250.0,5,34.855972
264.0,5,34.902973
292.0,5,34.946976
291.0,5,34.983977
256.0,5,35.020973
276.0,5,35.060973
265.0,5,35.097974
269.0,5,35.134974
286.0,5,35.174973
243.0,5,35.219974
263.0,5,35.260996
284.0,5,35.304974
270.0,5,35.343974
278.0,5,35.384974
268.0,5,35.431977
285.0,5,35.470978
229.0,5,35.514975
256.0,5,35.559976
260.0,5,35.602975
248.0,5,35.643975
258.0,5,35.683975
254.0,5,35.725978
303.0,5,35.765975
270.0,5,35.81199
262.0,5,35.852976
250.0,5,35.898976
284.0,5,35.937979
287.0,5,35.976978
253.0,5,36.020976
267.0,5,36.064977
267.0,5,36.104976
237.0,5,36.150977
273.0,5,36.193977
230.0,5,36.230976
243.0,5,36.270979
279.0,5,36.316987
288.0,5,36.363978
229.0,5,36.405977
257.0,5,36.445978
241.0,5,36.489979
241.0,5,36.535977
261.0,5,36.582978
273.0,5,36.623981
252.0,5,36.661994
296.0,5,36.703978
262.0,5,36.741978
256.0,5,36.787979
260.0,5,36.835979
265.0,5,36.87698
281.0,5,36.917979
295.0,5,36.957979
289.0,5,36.99898
229.0,5,37.04198
270.0,5,37.081979
289.0,5,37.12798
276.0,5,37.166981
283.0,5,37.20698
285.0,5,37.249982
240.0,5,37.289981
266.0,5,37.336981
286.0,5,37.381983
272.0,5,37.422982
228.0,5,37.462005
231.0,5,37.503987
274.0,5,37.540984
299.0,5,37.578983
238.0,5,37.622981
268.0,5,37.667981
247.0,5,37.705981
277.0,5,37.748984
295.0,5,37.793982
275.0,5,37.836984
248.0,5,37.883983
204.0,5,37.931982
271.0,5,37.980986
291.0,5,38.029984
255.0,5,38.079984
187.0,5,38.133985
240.0,5,38.181983
281.0,5,38.227983
269.0,5,38.270985
221.0,5,38.316983
255.0,5,38.359984
262.0,5,38.402985
271.0,5,38.451998
281.0,5,38.493984
278.0,5,38.538984
269.0,5,38.587984
262.0,5,38.635985
287.0,5,38.678989
243.0,5,38.720984
281.0,5,38.765986
254.0,5,38.816001
233.0,5,38.860985
283.0,5,38.906985
273.0,5,38.948987
270.0,5,38.999988
267.0,5,39.046986
218.0,5,39.093987
264.0,5,39.137986
230.0,5,39.181989
274.0,5,39.230012
244.0,5,39.279988
253.0,5,39.325992
255.0,5,39.371988
250.0,5,39.418988
248.0,5,39.461988
261.0,5,39.511989
256.0,5,39.554988
228.0,5,39.598987
270.0,5,39.642988
268.0,5,39.686011
226.0,5,39.732989
