#{"t_start": 1732092436.037726, "env_id": "None"}
r,l,t
266.0,5,3.125772
210.0,5,3.170773
277.0,5,3.226772
232.0,5,3.284782
284.0,5,3.351777
251.0,5,3.401779
278.0,5,3.45578
265.0,5,3.502781
295.0,5,3.551789
279.0,5,3.602785
223.0,5,3.653787
277.0,5,3.69981
278.0,5,3.74579
261.0,5,3.793791
292.0,5,3.841794
295.0,5,3.894795
280.0,5,3.945797
299.0,5,3.999801
250.0,5,4.056801
290.0,5,4.108816
277.0,5,4.158804
203.0,5,4.211806
254.0,5,4.260807
266.0,5,4.315824
261.0,5,4.36981
287.0,5,4.415829
213.0,5,4.462814
263.0,5,4.513816
281.0,5,4.564818
283.0,5,4.615822
284.0,5,4.662822
229.0,5,4.716825
269.0,5,4.769823
252.0,5,4.820826
200.0,5,4.870829
250.0,5,4.92383
271.0,5,4.967835
250.0,5,5.026833
261.0,5,5.086836
277.0,5,5.137838
268.0,5,5.187838
266.0,5,5.23384
269.0,5,5.28285
255.0,5,5.327844
281.0,5,5.375845
287.0,5,5.424845
233.0,5,5.47385
234.0,5,5.52185
270.0,5,5.570853
266.0,5,5.621852
282.0,5,5.672855
220.0,5,5.720858
266.0,5,5.768857
269.0,5,5.813859
280.0,5,5.866865
277.0,5,5.916874
277.0,5,5.958864
272.0,5,6.013866
261.0,5,6.060867
234.0,5,6.10587
279.0,5,6.15387
247.0,5,6.206872
253.0,5,6.255875
284.0,5,6.305877
243.0,5,6.359879
194.0,5,6.408879
261.0,5,6.466887
266.0,5,6.515902
238.0,5,6.568884
266.0,5,6.620885
276.0,5,6.672887
259.0,5,6.720889
270.0,5,6.772892
232.0,5,6.818894
278.0,5,6.8659
242.0,5,6.915908
273.0,5,6.961897
267.0,5,7.0089
225.0,5,7.054902
236.0,5,7.101903
281.0,5,7.149906
257.0,5,7.192905
295.0,5,7.245906
253.0,5,7.292909
259.0,5,7.34091
264.0,5,7.391912
257.0,5,7.448925
271.0,5,7.505915
255.0,5,7.557917
268.0,5,7.60792
250.0,5,7.654921
288.0,5,7.704922
225.0,5,7.758924
295.0,5,7.818927
232.0,5,7.881936
246.0,5,7.930933
254.0,5,7.980941
243.0,5,8.026933
247.0,5,8.078935
270.0,5,8.133939
258.0,5,8.183938
273.0,5,8.230951
253.0,5,8.277941
248.0,5,8.325942
236.0,5,8.373944
232.0,5,8.423947
285.0,5,8.467968
215.0,5,8.51595
234.0,5,8.563953
243.0,5,8.611955
287.0,5,8.658954
278.0,5,8.713963
271.0,5,8.765961
272.0,5,8.81196
241.0,5,8.857961
257.0,5,8.902962
197.0,5,8.950964
260.0,5,8.995975
270.0,5,9.040967
281.0,5,9.103971
272.0,5,9.153972
250.0,5,9.201973
243.0,5,9.250974
241.0,5,9.301975
280.0,5,9.34798
223.0,5,9.39498
250.0,5,9.447988
256.0,5,9.500982
281.0,5,9.547002
244.0,5,9.589988
256.0,5,9.641988
262.0,5,9.697997
290.0,5,9.742991
229.0,5,9.790997
284.0,5,9.841994
217.0,5,9.905997
246.0,5,9.964014
235.0,5,10.008
258.0,5,10.057
261.0,5,10.114004
265.0,5,10.174006
276.0,5,10.241009
280.0,5,10.31601
270.0,5,10.375014
225.0,5,10.449018
277.0,5,10.547022
221.0,5,10.60902
288.0,5,10.661024
262.0,5,10.712046
273.0,5,10.762038
267.0,5,10.819028
253.0,5,10.88103
270.0,5,10.951032
266.0,5,11.022035
282.0,5,11.091036
247.0,5,11.146059
285.0,5,11.200055
224.0,5,11.256041
265.0,5,11.314048
233.0,5,11.380053
261.0,5,11.447048
270.0,5,11.51306
276.0,5,11.570053
234.0,5,11.625055
279.0,5,11.681063
225.0,5,11.734056
268.0,5,11.787061
263.0,5,11.843061
192.0,5,11.898064
273.0,5,11.951065
253.0,5,12.004065
255.0,5,12.051068
244.0,5,12.10207
260.0,5,12.157072
232.0,5,12.225074
242.0,5,12.290078
242.0,5,12.345092
271.0,5,12.403082
255.0,5,12.455082
271.0,5,12.508084
273.0,5,12.564101
259.0,5,12.609087
246.0,5,12.662093
241.0,5,12.710091
252.0,5,12.752091
221.0,5,12.799093
250.0,5,12.848094
285.0,5,12.890095
252.0,5,12.9861
299.0,5,13.070103
225.0,5,13.146125
266.0,5,13.233111
275.0,5,13.297112
223.0,5,13.354111
273.0,5,13.408114
257.0,5,13.457115
217.0,5,13.508119
217.0,5,13.561126
258.0,5,13.615124
269.0,5,13.670123
242.0,5,13.724124
223.0,5,13.778132
281.0,5,13.834128
262.0,5,13.887129
252.0,5,13.935132
