#{"t_start": 1731813344.6833732, "env_id": "None"}
r,l,t
242.0,5,18.218719
262.0,5,18.28919
251.0,5,18.359437
249.0,5,18.420465
281.0,5,18.489459
285.0,5,18.541717
219.0,5,18.593029
244.0,5,18.640542
276.0,5,18.690957
268.0,5,18.733539
272.0,5,18.789461
238.0,5,18.834319
227.0,5,18.894984
275.0,5,18.954352
263.0,5,19.007528
253.0,5,19.06801
215.0,5,19.125743
276.0,5,19.168173
278.0,5,19.231661
239.0,5,19.289433
231.0,5,19.352245
241.0,5,19.411525
289.0,5,19.472794
224.0,5,19.535089
263.0,5,19.58139
244.0,5,19.632411
229.0,5,19.685329
211.0,5,19.7335
254.0,5,19.784314
246.0,5,19.838214
258.0,5,19.884535
238.0,5,19.934469
271.0,5,19.992289
236.0,5,20.054834
252.0,5,20.122512
263.0,5,20.181066
265.0,5,20.226328
252.0,5,20.27679
282.0,5,20.33547
239.0,5,20.388886
245.0,5,20.439492
267.0,5,20.490397
239.0,5,20.540733
271.0,5,20.589846
254.0,5,20.653563
217.0,5,20.716046
288.0,5,20.767307
243.0,5,20.827718
264.0,5,20.886647
238.0,5,20.939293
247.0,5,20.989752
282.0,5,21.050528
272.0,5,21.091016
255.0,5,21.139657
194.0,5,21.181972
265.0,5,21.222513
261.0,5,21.273073
192.0,5,21.323546
283.0,5,21.374082
234.0,5,21.439182
253.0,5,21.501293
262.0,5,21.552113
254.0,5,21.598989
248.0,5,21.649913
253.0,5,21.701005
264.0,5,21.748425
234.0,5,21.812539
266.0,5,21.859433
266.0,5,21.899497
286.0,5,21.943815
247.0,5,22.01662
289.0,5,22.104868
241.0,5,22.168122
242.0,5,22.233301
257.0,5,22.282877
277.0,5,22.335097
208.0,5,22.381988
266.0,5,22.428259
255.0,5,22.482287
244.0,5,22.535403
274.0,5,22.585904
241.0,5,22.636598
235.0,5,22.697161
254.0,5,22.747773
245.0,5,22.798538
222.0,5,22.871531
248.0,5,22.941889
234.0,5,22.999726
214.0,5,23.052181
272.0,5,23.117218
250.0,5,23.175315
241.0,5,23.232546
271.0,5,23.279502
233.0,5,23.332031
293.0,5,23.384024
228.0,5,23.431501
209.0,5,23.468275
272.0,5,23.517633
231.0,5,23.564844
252.0,5,23.6166
239.0,5,23.666453
244.0,5,23.707447
276.0,5,23.758298
278.0,5,23.807222
240.0,5,23.849956
205.0,5,23.900506
266.0,5,23.952041
214.0,5,24.001725
231.0,5,24.050173
250.0,5,24.100904
275.0,5,24.149606
261.0,5,24.194433
271.0,5,24.249072
257.0,5,24.295737
280.0,5,24.338611
226.0,5,24.378965
252.0,5,24.427877
205.0,5,24.480837
256.0,5,24.521217
252.0,5,24.571951
234.0,5,24.622473
217.0,5,36.873281
284.0,5,36.920849
257.0,5,36.969794
224.0,5,37.004219
260.0,5,37.054703
210.0,5,37.104129
227.0,5,37.1375
248.0,5,37.187963
284.0,5,37.237465
255.0,5,37.287448
202.0,5,37.336794
280.0,5,37.370531
259.0,5,37.423474
262.0,5,37.470564
258.0,5,37.503742
218.0,5,37.553846
289.0,5,37.603841
228.0,5,37.640243
221.0,5,37.687116
284.0,5,37.737082
292.0,5,37.787495
257.0,5,37.83705
294.0,5,37.886946
222.0,5,37.927824
277.0,5,37.973097
254.0,5,38.027726
245.0,5,38.073421
271.0,5,38.12061
287.0,5,38.170071
218.0,5,38.220067
212.0,5,38.270153
286.0,5,38.3278
269.0,5,38.369478
239.0,5,38.40332
261.0,5,38.453661
263.0,5,38.504709
225.0,5,38.553086
282.0,5,38.586931
227.0,5,38.636526
246.0,5,38.686439
287.0,5,38.73639
268.0,5,38.769647
279.0,5,38.836351
258.0,5,38.869941
232.0,5,38.928088
270.0,5,38.969588
214.0,5,39.017704
248.0,5,39.053285
241.0,5,39.103578
225.0,5,39.148762
278.0,5,39.189364
232.0,5,39.236102
268.0,5,39.272878
278.0,5,39.323508
266.0,5,39.374804
294.0,5,39.41924
295.0,5,39.463855
277.0,5,39.510513
264.0,5,39.557743
248.0,5,39.608566
259.0,5,39.657735
263.0,5,39.704278
217.0,5,39.752397
244.0,5,39.799991
240.0,5,39.852794
260.0,5,39.912137
243.0,5,39.953821
254.0,5,40.007634
240.0,5,40.045114
285.0,5,40.096241
262.0,5,40.147708
302.0,5,40.188313
285.0,5,40.229399
236.0,5,40.278495
271.0,5,40.321403
275.0,5,40.369164
260.0,5,40.415619
289.0,5,40.453624
256.0,5,40.508465
256.0,5,40.553646
255.0,5,40.596069
223.0,5,40.646706
261.0,5,40.687914
219.0,5,40.73501
247.0,5,40.779119
282.0,5,40.859043
261.0,5,40.905502
245.0,5,40.950345
260.0,5,40.993156
244.0,5,41.041506
240.0,5,41.085066
249.0,5,41.125723
267.0,5,41.176622
262.0,5,41.218274
234.0,5,41.270952
293.0,5,41.318647
284.0,5,41.360069
272.0,5,41.406225
261.0,5,41.440018
197.0,5,41.493073
239.0,5,41.53456
199.0,5,41.584633
265.0,5,41.636085
278.0,5,41.67484
270.0,5,41.720253
259.0,5,41.769409
253.0,5,41.819849
247.0,5,41.870998
241.0,5,41.916177
292.0,5,41.95121
261.0,5,42.010742
231.0,5,42.053664
275.0,5,42.08427
245.0,5,42.134234
223.0,5,42.184326
204.0,5,42.234921
279.0,5,42.283651
216.0,5,42.320105
266.0,5,42.370929
233.0,5,42.420028
294.0,5,42.467446
265.0,5,42.517333
229.0,5,42.55073
253.0,5,42.613469
238.0,5,42.650699
218.0,5,42.704138
260.0,5,42.750581
234.0,5,42.783884
287.0,5,42.833771
293.0,5,42.883781
251.0,5,42.933743
276.0,5,42.967211
259.0,5,43.021025
246.0,5,43.067015
252.0,5,43.117152
220.0,5,43.167428
258.0,5,43.215086
249.0,5,43.266842
257.0,5,43.316416
240.0,5,43.35306
249.0,5,43.404814
218.0,5,43.450042
273.0,5,43.502734
241.0,5,43.533427
247.0,5,43.583306
265.0,5,43.621697
270.0,5,43.666624
258.0,5,43.722064
181.0,5,43.766552
268.0,5,43.822147
247.0,5,43.866632
219.0,5,43.902366
268.0,5,43.950089
260.0,5,44.0056
251.0,5,44.050401
231.0,5,44.082826
295.0,5,44.133056
250.0,5,44.183474
228.0,5,44.235907
249.0,5,44.282851
243.0,5,44.322742
273.0,5,44.366174
227.0,5,44.42303
288.0,5,44.466212
303.0,5,44.523116
187.0,5,44.566122
291.0,5,44.623438
273.0,5,44.668259
270.0,5,44.699265
250.0,5,44.749112
177.0,5,44.799174
274.0,5,44.832534
265.0,5,44.885198
230.0,5,44.932984
227.0,5,45.000612
249.0,5,45.049128
268.0,5,45.103333
278.0,5,45.149329
245.0,5,45.199231
257.0,5,45.249001
267.0,5,45.299098
299.0,5,45.349269
203.0,5,45.423038
289.0,5,45.49888
219.0,5,45.565484
251.0,5,45.616254
280.0,5,45.665373
269.0,5,45.715312
267.0,5,45.76888
213.0,5,45.823205
202.0,5,45.868424
251.0,5,45.915303
265.0,5,45.965259
297.0,5,46.015181
269.0,5,46.049084
225.0,5,46.101706
282.0,5,46.148391
282.0,5,46.198515
263.0,5,46.248702
254.0,5,46.298448
259.0,5,46.348381
267.0,5,46.398365
242.0,5,46.448314
240.0,5,46.49816
278.0,5,46.563849
270.0,5,46.598186
210.0,5,46.65216
299.0,5,46.715092
268.0,5,46.74801
270.0,5,46.814601
264.0,5,46.868303
233.0,5,46.923021
279.0,5,46.967553
268.0,5,47.014573
260.0,5,47.064657
245.0,5,47.114847
273.0,5,47.164334
282.0,5,47.223433
199.0,5,47.264659
278.0,5,47.323375
251.0,5,47.364305
201.0,5,47.414753
285.0,5,47.464247
257.0,5,47.53095
242.0,5,47.581297
257.0,5,47.646938
203.0,5,47.697427
284.0,5,47.747459
263.0,5,47.797468
242.0,5,47.850812
212.0,5,47.897275
234.0,5,47.947227
230.0,5,47.997488
261.0,5,48.04809
259.0,5,48.097281
281.0,5,48.147193
260.0,5,48.197145
276.0,5,48.247205
268.0,5,48.296997
278.0,5,48.346883
272.0,5,48.397021
280.0,5,48.430828
250.0,5,48.463557
294.0,5,48.513639
214.0,5,48.563948
256.0,5,48.613545
238.0,5,48.663419
260.0,5,48.700242
284.0,5,48.746691
251.0,5,48.796717
290.0,5,48.846581
231.0,5,48.896143
261.0,5,48.929881
272.0,5,48.980071
252.0,5,49.032339
268.0,5,49.080286
238.0,5,49.129265
277.0,5,49.163164
284.0,5,49.223901
281.0,5,49.268351
281.0,5,49.312932
234.0,5,49.364497
218.0,5,49.412944
246.0,5,49.446736
280.0,5,49.496372
270.0,5,49.546204
239.0,5,49.596219
257.0,5,49.646714
259.0,5,49.697595
263.0,5,49.729468
264.0,5,49.779793
274.0,5,49.829489
252.0,5,49.879316
242.0,5,49.929313
264.0,5,49.979723
201.0,5,50.024476
286.0,5,50.079661
258.0,5,50.124516
286.0,5,50.162395
256.0,5,50.212415
257.0,5,50.262495
297.0,5,50.313037
250.0,5,50.362197
171.0,5,50.395775
224.0,5,50.449494
270.0,5,50.495436
254.0,5,50.548466
196.0,5,50.595632
220.0,5,50.628889
222.0,5,50.678759
263.0,5,50.728894
261.0,5,50.764939
