#{"t_start": 1731589921.0534966, "env_id": "None"}
r,l,t
84.0,5,22.012568
83.0,5,22.095708
108.0,5,22.179044
128.0,5,22.262274
81.0,5,22.345541
53.0,5,22.412144
49.0,5,22.495404
99.0,5,22.578779
119.0,5,22.650933
58.0,5,22.729098
77.0,5,22.812033
80.0,5,22.878619
94.0,5,22.961982
110.0,5,23.028476
26.0,5,23.111666
89.0,5,23.201717
37.0,5,23.278402
127.0,5,23.361679
67.0,5,23.4283
126.0,5,23.5184
68.0,5,23.594753
128.0,5,23.678044
63.0,5,23.761362
72.0,5,23.827935
51.0,5,23.911163
89.0,5,23.994653
88.0,5,24.077777
92.0,5,24.161161
89.0,5,24.24439
106.0,5,24.326815
108.0,5,24.393094
100.0,5,24.477448
103.0,5,24.560707
100.0,5,24.644076
35.0,5,24.710719
86.0,5,24.793963
89.0,5,24.877307
137.0,5,24.943971
54.0,5,25.027099
122.0,5,25.110493
45.0,5,25.193838
67.0,5,25.276926
105.0,5,25.343605
152.0,5,25.427011
94.0,5,25.513366
57.0,5,25.593482
71.0,5,25.660036
74.0,5,25.743437
70.0,5,25.825872
82.0,5,25.893242
90.0,5,25.976564
63.0,5,26.0598
129.0,5,26.148293
97.0,5,26.226378
100.0,5,26.309739
86.0,5,26.382022
105.0,5,26.459615
118.0,5,26.526169
159.0,5,26.609531
92.0,5,26.693143
71.0,5,26.759476
125.0,5,26.842782
62.0,5,26.909325
130.0,5,26.99255
115.0,5,27.075872
57.0,5,27.147999
31.0,5,27.209058
136.0,5,27.29247
95.0,5,27.365265
79.0,5,27.425625
101.0,5,27.508856
83.0,5,27.580946
64.0,5,27.65892
75.0,5,27.725417
30.0,5,27.807919
133.0,5,27.875288
41.0,5,27.958689
70.0,5,28.030834
79.0,5,28.108618
54.0,5,28.175101
57.0,5,28.258571
51.0,5,28.325088
55.0,5,28.408435
53.0,5,28.480092
49.0,5,28.558343
110.0,5,28.624837
36.0,5,28.697058
79.0,5,28.774736
64.0,5,28.841398
98.0,5,28.924646
175.0,5,29.041226
122.0,5,29.141183
74.0,5,29.207821
109.0,5,29.291086
93.0,5,29.357741
78.0,5,29.424344
94.0,5,29.507598
