#{"t_start": 1731938121.8156562, "env_id": "None"}
r,l,t
-18509.684245,20,10758.969787
-16763.590495,20,10759.977185
-20436.848958,20,10760.793307
-18324.13737,20,10761.726109
-31318.766276,20,10762.592249
-23700.602214,20,10763.524826
-26400.146484,20,10764.362028
-24261.63737,20,10765.356838
-15555.013021,20,10766.22322
-17534.423828,20,10767.122662
-16465.576172,20,10768.00592
-20635.904948,20,10768.857652
-17837.320964,20,10769.699392
-23037.272135,20,10770.550376
-19100.179036,20,10771.405366
-15143.229167,20,10772.237762
-18681.233724,20,10773.057886
-13880.777995,20,10773.880065
-20335.77474,20,10774.73416
-24001.057943,20,10775.567353
-14463.378906,20,10776.533497
-18740.966797,20,10777.5495
-21963.867188,20,10778.601836
-13399.739583,20,10779.684441
-26057.454427,20,10780.826787
-19428.466797,20,10781.813634
-19196.614583,20,10782.791016
-19167.88737,20,10783.762244
-12681.640625,20,10784.761623
-19214.518229,20,10785.877548
-21153.401693,20,10787.16726
-25393.147786,20,10788.509208
-15319.335937,20,10789.533397
-25451.090495,20,10790.524371
-15247.477214,20,10791.579726
-17439.941406,20,10792.56838
-15808.67513,20,10793.559729
-19391.357422,20,10794.564379
-27318.359375,20,10795.587975
-22853.759766,20,10796.708069
-18940.429687,20,10797.739336
-21500.08138,20,10798.769238
-23048.258464,20,10799.821565
-21496.988932,20,10800.890812
-19358.968099,20,10801.984561
-14599.772135,20,10803.000004
-18804.6875,20,10803.954342
-17221.028646,20,10804.929072
-23536.214193,20,10805.881415
-25969.156901,20,10806.98116
-20414.469401,20,10808.116227
-22629.231771,20,10809.255993
-16440.755208,20,10810.411276
-15667.88737,20,10811.546219
-14605.38737,20,10812.602162
-24726.72526,20,10813.712655
-24481.770833,20,10814.809208
-19500.406901,20,10815.811594
-11865.315755,20,10816.857743
-16544.596354,20,10817.872802
-15904.703776,20,10818.858276
-22132.97526,20,10819.958734
-18444.580078,20,10820.92454
-19424.479167,20,10822.114756
-20756.429036,20,10823.354983
-19542.561849,20,10824.389652
-17531.08724,20,10825.352414
-19004.475911,20,10826.30127
-21069.986979,20,10905.50145
-14420.084635,20,10906.517763
-16754.801432,20,10907.600232
-12902.26237,20,10908.69964
-18328.857422,20,10909.649055
-14965.00651,20,10910.56506
-16808.43099,20,10911.564507
-17140.54362,20,10912.630503
-26634.928385,20,10913.803383
-19819.498698,20,10914.965351
-27114.501953,20,10915.997444
-15550.86263,20,10917.009107
-17423.990885,20,10918.043601
-22832.03125,20,10919.093066
-19073.079427,20,10920.144877
-26289.876302,20,10921.108308
-23828.938802,20,10922.107747
-25990.641276,20,10923.175344
-24132.486979,20,10924.123164
-16530.354818,20,10925.039116
-21424.804688,20,10926.02191
-21204.508464,20,10927.088196
-28967.854818,20,10928.053913
-20140.299479,20,10929.002761
-31876.383464,20,10929.902644
-23814.778646,20,10930.835397
-25854.248047,20,10931.921333
-15121.826172,20,10933.021131
-20328.938802,20,10934.000136
-19721.516927,20,10934.96967
-23718.91276,20,10935.941865
-28005.777995,20,10936.934806
-16846.842448,20,10937.86431
-22164.957682,20,10938.830491
-15601.236979,20,10939.763259
-16503.499349,20,10940.712524
-21227.945964,20,10941.662039
-14973.144531,20,10942.628115
-20704.833984,20,10943.610823
-17725.260417,20,10944.587463
-19295.654297,20,10945.526051
-10704.345703,20,10946.492396
-19631.917318,20,10947.425021
-14092.854818,20,10948.391049
-24854.736328,20,10949.340524
-13327.473958,20,10950.289765
-24538.248698,20,10951.273182
-21529.703776,20,10952.221897
-16305.745443,20,10953.213742
-11512.695312,20,10954.123695
-17460.611979,20,10955.103814
-14150.146484,20,10956.174841
-22090.738932,20,10957.139137
-18862.548828,20,10958.184919
-22954.345703,20,10959.217613
-15740.722656,20,10960.183696
-18515.055339,20,10961.216998
-27067.545573,20,10962.248973
-18278.645833,20,10963.318617
-20999.348958,20,10964.454114
-13640.380859,20,10965.480168
-19278.889974,20,10966.449776
-11661.132812,20,10967.36997
-19692.789714,20,10968.215171
-20404.622396,20,10969.081327
-29193.847656,20,10969.927502
-18459.960938,20,10970.812212
-26544.596354,20,10971.663133
-18636.63737,20,10972.564705
-24769.938151,20,10973.455921
-16543.05013,20,10974.314981
-20606.201172,20,10975.178406
-9570.800781,20,10976.003017
-21468.017578,20,10976.893644
-18014.404297,20,10977.746731
-20297.607422,20,10978.630881
-23175.78125,20,10979.484009
-20288.98112,20,10980.356682
-20854.817708,20,10981.203584
-12254.557292,20,10982.069654
-11237.304687,20,10982.959521
-25897.298177,20,10983.94779
-18977.620443,20,10984.837023
-23394.775391,20,10985.717381
-22479.003906,20,10986.600088
-16818.359375,20,10987.449672
-24399.251302,20,10988.348866
-15163.818359,20,10989.227861
-9830.647786,20,10990.097311
-21291.259766,20,10990.948016
-24168.294271,20,10991.814907
-20454.345703,20,10992.696436
-16877.522786,20,10993.580586
-15893.636068,20,10994.461881
-20507.242839,20,10995.337341
-20019.61263,20,10996.21773
-18897.379557,20,10997.060181
-20714.76237,20,10997.975617
-21337.483724,20,10998.859109
-16473.225911,20,10999.760991
-27602.620443,20,11000.641391
-23080.078125,20,11001.493602
-21628.98763,20,11002.37894
-18268.473307,20,11064.444685
-9841.227214,20,11065.128222
-19729.654948,20,11065.823196
-18294.108073,20,11066.525763
-19427.001953,20,11067.198983
-23133.544922,20,11067.898412
-15564.371745,20,11068.59812
-24302.978516,20,11069.363698
-20929.361979,20,11070.005776
-22008.219401,20,11070.712817
-13142.496745,20,11071.385151
-19076.497396,20,11072.086191
-14110.514323,20,11072.819309
-28208.740234,20,11073.519318
-12592.692057,20,11074.232056
-14299.072266,20,11074.932944
-18953.857422,20,11075.586637
-20685.384115,20,11076.247524
-18305.664062,20,11076.938815
-28357.991536,20,11077.612584
-14124.348958,20,11078.299577
-16869.628906,20,11078.970642
-16503.499349,20,11079.661729
-19375.244141,20,11080.34619
-13704.020182,20,11081.04021
-24373.128255,20,11081.711478
-15987.467448,20,11082.372504
-14963.378906,20,11083.060348
-23160.725911,20,11083.733626
-21670.084635,20,11084.423569
-21174.316406,20,11085.109998
-11007.486979,20,11085.792242
-12726.888021,20,11086.475626
-22989.095052,20,11087.188308
-28994.628906,20,11087.86673
-17427.897135,20,11088.561755
-18201.660156,20,11089.369683
-19528.320312,20,11090.062719
-19806.315104,20,11090.752094
-16036.539714,20,11091.433685
-12693.603516,20,11092.123242
-20747.558594,20,11092.795639
-21041.503906,20,11093.482343
-16946.533203,20,11094.202657
-18296.142578,20,11094.886457
-17329.264323,20,11095.547773
-20833.007812,20,11096.250276
-22385.253906,20,11096.926066
-9877.848307,20,11097.588695
-12107.421875,20,11098.271795
-18188.476562,20,11098.932701
-22770.751953,20,11099.615988
-19576.416016,20,11100.277966
-13987.874349,20,11101.010703
-22491.943359,20,11101.693678
-24257.324219,20,11102.392755
-12461.995443,20,11103.065546
-21630.208333,20,11103.742434
-23180.582682,20,11104.460603
-26442.952474,20,11105.143983
-15411.539714,20,11105.828887
-14663.085937,20,11106.524497
-11406.819661,20,11107.22615
-18177.734375,20,11107.897338
-23764.892578,20,11108.575649
-17944.173177,20,11109.251201
-27368.408203,20,11110.064866
-17958.414714,20,11110.722803
-16766.764323,20,11111.411613
-16489.013672,20,11112.11528
-22897.949219,20,11112.770115
-14173.095703,20,11113.473067
-19104.166667,20,11114.150676
-27278.889974,20,11114.828842
-27879.557292,20,11115.50145
-20838.948568,20,11116.179819
-15654.866536,20,11116.821456
-23267.822266,20,11117.518997
-14720.296224,20,11118.213629
-17790.201823,20,11118.876909
-18980.875651,20,11119.587831
-14523.60026,20,11120.255657
-15670.979818,20,11120.940728
-20346.923828,20,11121.619109
-15178.629557,20,11122.309197
-14407.877604,20,11122.974068
-23191.894531,20,11123.646383
-19195.719401,20,11124.3433
-24767.252604,20,11125.008114
-14635.009766,20,11125.709301
-14542.561849,20,11126.366097
-24426.350911,20,11127.058523
-21889.160156,20,11127.751808
-16784.016927,20,11128.462255
-21858.723958,20,11129.145029
-13103.190104,20,11129.813661
-26109.45638,20,11130.594695
-26672.363281,20,11131.283477
-15420.247396,20,11131.938157
-19834.147135,20,11132.619972
-16918.294271,20,11133.309506
-15333.821615,20,11133.960331
-22089.274089,20,11186.696654
-10739.990234,20,11187.346409
-24867.919922,20,11187.989428
-20479.492188,20,11188.642033
-23598.795573,20,11189.27563
-21541.748047,20,11189.940201
-23631.184896,20,11190.606728
-20066.48763,20,11191.234015
-19380.452474,20,11191.887089
-17858.398437,20,11192.519927
-22994.140625,20,11193.191921
-28694.986979,20,11193.8057
-26681.233724,20,11194.458622
-24249.430339,20,11195.139171
-22238.932292,20,11195.779141
-17627.441406,20,11196.466445
-17210.286458,20,11197.116312
-20831.298828,20,11197.78268
-19075.113932,20,11198.448884
-22013.102214,20,11199.109239
-25523.60026,20,11199.764726
-21578.613281,20,11200.418131
-15860.595703,20,11201.067818
-15752.522786,20,11201.813428
-16863.19987,20,11202.480214
-18526.041667,20,11203.14499
-16424.153646,20,11203.814304
-18210.693359,20,11204.511774
-15456.787109,20,11205.219993
-19360.595703,20,11205.882759
-20877.929688,20,11206.518193
-21298.339844,20,11207.19334
-26698.079427,20,11207.861734
-27143.066406,20,11208.514463
-15979.003906,20,11209.163822
-20964.355469,20,11209.828132
-15504.231771,20,11210.509613
-16117.838542,20,11211.174702
-24539.794922,20,11211.825768
-16229.085286,20,11212.446377
-19797.363281,20,11213.129068
-22139.811198,20,11213.772436
-16246.744792,20,11214.430755
-22638.671875,20,11215.141781
-24236.165365,20,11215.787036
-20393.554688,20,11216.450687
-11793.05013,20,11217.094364
-26609.29362,20,11217.743579
-13791.422526,20,11218.356709
-13915.283203,20,11218.991621
-16343.098958,20,11219.652107
-16564.778646,20,11220.286881
-22204.020182,20,11221.042305
-22875.488281,20,11221.684178
-17690.592448,20,11222.340474
-16797.281901,20,11222.974813
-13205.485026,20,11223.625171
-13001.057943,20,11224.271682
-16992.675781,20,11224.904535
-17820.3125,20,11225.576858
-8701.497396,20,11226.218409
-20536.702474,20,11226.830966
-15589.84375,20,11227.463761
-23006.917318,20,11228.115078
-20030.029297,20,11228.778722
-15123.046875,20,11229.391985
-17382.568359,20,11230.045681
-15492.919922,20,11230.664261
-13300.211589,20,11231.313471
-15440.917969,20,11231.946799
-20665.445964,20,11232.597232
-17587.320964,20,11233.227361
-20171.061198,20,11233.849444
-21109.049479,20,11234.492917
-15305.094401,20,11235.14224
-14839.599609,20,11235.792373
-13523.60026,20,11236.444055
-15166.748047,20,11237.075959
-22082.926432,20,11237.729919
-18429.117839,20,11238.379176
-19468.66862,20,11239.008802
