#{"t_start": 1731885597.1786423, "env_id": "None"}
r,l,t
267.0,10,65.563751
246.0,10,65.655086
229.0,10,65.766137
300.0,10,65.879456
251.0,10,65.999217
231.0,10,66.120945
206.0,10,66.222165
250.0,10,66.331995
267.0,10,66.429132
280.0,10,66.529864
285.0,10,66.646924
309.0,10,66.788171
252.0,10,66.950481
259.0,10,67.094841
210.0,10,67.225975
304.0,10,67.35775
255.0,10,67.479259
287.0,10,67.590527
253.0,10,67.711447
297.0,10,67.832641
197.0,10,67.937193
274.0,10,68.048065
257.0,10,68.16207
249.0,10,68.269666
234.0,10,68.38289
261.0,10,68.495342
195.0,10,68.59535
263.0,10,68.678458
258.0,10,68.767106
260.0,10,68.87976
163.0,10,68.988807
233.0,10,69.094976
264.0,10,69.199684
296.0,10,69.301031
251.0,10,69.401047
291.0,10,69.500882
244.0,10,69.600896
238.0,10,69.694677
204.0,10,69.810351
242.0,10,69.901319
280.0,10,70.001306
233.0,10,70.094282
298.0,10,70.193976
249.0,10,70.277324
297.0,10,70.401138
297.0,10,70.510614
275.0,10,70.610554
286.0,10,70.727241
177.0,10,70.843835
287.0,10,70.927554
270.0,10,71.012742
232.0,10,71.110219
272.0,10,71.226864
258.0,10,71.360122
277.0,10,71.462612
273.0,10,71.576782
277.0,10,71.679705
246.0,10,71.809767
200.0,10,71.916431
293.0,10,72.028557
221.0,10,72.143106
266.0,10,72.242958
258.0,10,72.344893
294.0,10,72.458647
303.0,10,72.573561
214.0,10,72.686869
260.0,10,72.797638
291.0,10,72.900928
295.0,10,73.022255
277.0,10,73.131778
209.0,10,73.235473
291.0,10,73.336796
238.0,10,73.42803
304.0,10,73.526875
289.0,10,73.638704
276.0,10,73.751409
173.0,10,73.862102
301.0,10,73.984101
259.0,10,74.095471
229.0,10,74.196186
287.0,10,74.29714
286.0,10,74.407408
285.0,10,74.519382
266.0,10,74.618976
264.0,10,74.711124
273.0,10,74.814567
257.0,10,74.912718
296.0,10,74.996272
275.0,10,75.098083
290.0,10,75.198131
273.0,10,75.2915
246.0,10,75.391064
222.0,10,75.493415
232.0,10,75.59486
265.0,10,75.694372
214.0,10,75.79591
273.0,10,75.899673
241.0,10,75.991009
215.0,10,76.092492
244.0,10,76.173602
229.0,10,76.265275
253.0,10,76.364841
263.0,10,76.459147
278.0,10,76.552516
245.0,10,76.645247
264.0,10,76.756739
246.0,10,76.875752
231.0,10,76.998354
294.0,10,77.122318
254.0,10,77.260917
241.0,10,77.362
273.0,10,77.484538
236.0,10,77.584962
258.0,10,77.68953
264.0,10,77.787814
197.0,10,77.878503
280.0,10,77.97911
287.0,10,78.078102
260.0,10,78.17234
267.0,10,78.275287
268.0,10,78.372312
219.0,10,78.504798
268.0,10,99.225909
281.0,10,99.32842
278.0,10,99.427883
289.0,10,99.508887
275.0,10,99.610023
260.0,10,99.70865
266.0,10,99.808712
302.0,10,99.924169
211.0,10,100.02526
279.0,10,100.126239
249.0,10,100.225188
262.0,10,100.324965
230.0,10,100.440489
273.0,10,100.541493
243.0,10,100.624995
259.0,10,100.724774
277.0,10,100.827876
307.0,10,100.92753
284.0,10,101.026958
234.0,10,101.12439
270.0,10,101.224286
247.0,10,101.307614
259.0,10,101.407591
254.0,10,101.490832
238.0,10,101.607563
288.0,10,101.706774
279.0,10,101.79356
292.0,10,101.89347
226.0,10,101.973838
292.0,10,102.066093
272.0,10,102.156978
179.0,10,102.251501
230.0,10,102.34602
264.0,10,102.425767
228.0,10,102.506914
294.0,10,102.606815
272.0,10,102.706902
266.0,10,102.806713
237.0,10,102.906609
219.0,10,103.006582
243.0,10,103.123165
289.0,10,103.256445
284.0,10,103.373139
254.0,10,103.489683
259.0,10,103.589619
238.0,10,103.693631
301.0,10,103.789503
261.0,10,103.889293
284.0,10,103.989276
247.0,10,104.089283
236.0,10,104.192781
293.0,10,104.291846
276.0,10,104.390187
285.0,10,104.488923
243.0,10,104.575128
281.0,10,104.675269
263.0,10,104.77201
280.0,10,104.87206
266.0,10,104.972009
295.0,10,105.088641
241.0,10,105.189898
272.0,10,105.271801
282.0,10,105.371789
298.0,10,105.471776
288.0,10,105.588239
259.0,10,105.692146
291.0,10,105.788248
234.0,10,105.888183
253.0,10,105.988136
222.0,10,106.090842
238.0,10,106.187937
243.0,10,106.287886
162.0,10,106.371092
220.0,10,106.471107
292.0,10,106.587609
230.0,10,106.670897
276.0,10,106.770736
286.0,10,106.85416
243.0,10,106.954418
234.0,10,107.041318
279.0,10,107.141265
289.0,10,107.254048
271.0,10,107.364312
285.0,10,107.464138
248.0,10,107.557178
289.0,10,107.656797
194.0,10,107.750154
266.0,10,107.872201
265.0,10,107.994302
245.0,10,108.105098
295.0,10,108.226022
231.0,10,108.325501
284.0,10,108.4174
258.0,10,108.510772
278.0,10,108.612321
284.0,10,108.724155
272.0,10,108.829214
281.0,10,108.922524
266.0,10,109.006524
263.0,10,109.102923
215.0,10,109.200029
299.0,10,109.302004
254.0,10,109.393929
274.0,10,109.495154
236.0,10,109.596024
241.0,10,109.67463
298.0,10,109.77702
270.0,10,109.869372
237.0,10,109.970428
264.0,10,110.061722
273.0,10,110.204872
211.0,10,110.335486
